Wavelength (nm)	Reflectance
1526	0.2684806
1528	0.2692446
1530	0.2699993
1532	0.2707537
1534	0.2714986
1536	0.2722334
1538	0.2729575
1540	0.2736724
1542	0.2743698
1544	0.2750582
1546	0.2757394
1548	0.2764142
1550	0.2770802
1552	0.2777334
1554	0.2783775
1556	0.2790128
1558	0.2796394
1560	0.2802574
1562	0.2808706
1564	0.2814756
1566	0.2820722
1568	0.2826602
1570	0.2832398
1572	0.283807
1574	0.2843655
1576	0.2849174
1578	0.2854635
1580	0.2860015
1582	0.2865376
1584	0.2870653
1586	0.2875831
1588	0.2880899
1590	0.2885886
1592	0.2890771
1594	0.2895581
1596	0.2900313
1598	0.2904966
1600	0.2909541
1602	0.2914038
1604	0.2918458
1606	0.2922802
1608	0.2927069
1610	0.2931261
1612	0.2935376
1614	0.2939417
1616	0.2943384
1618	0.2947276
1620	0.2951095
1622	0.295484
1624	0.2958513
1626	0.2962113
1628	0.2965641
1630	0.2969098
1632	0.2972525
1634	0.2975881
1636	0.2979181
1638	0.2982437
1640	0.2985622
1642	0.2988659
1644	0.2991623
1646	0.2994519
1648	0.2997348
1650	0.3000109
1652	0.3002843
1654	0.3005515
1656	0.3008104
1658	0.30106
1660	0.3013031
1662	0.3015438
1664	0.3017784
1666	0.3020051
1668	0.302223
1670	0.3024346
1672	0.3026457
1674	0.3028508
1676	0.3030479
1678	0.3032364
1680	0.3034186
1682	0.3035964
1684	0.3037685
1686	0.3039329
1688	0.3040887
1690	0.3042385
1692	0.3043865
1694	0.3045291
1696	0.3046659
1698	0.3047969
1700	0.3049222
1702	0.3050434
1704	0.3051587
1706	0.3052666
1708	0.3053661
1710	0.3054599
1712	0.3055509
1714	0.3056369
1716	0.3057174
1718	0.3057925
1720	0.3058623
1722	0.3059268
1724	0.305986
1726	0.3060399
1728	0.3060887
1730	0.3061323
1732	0.3061707
1734	0.306204
1736	0.3062323
1738	0.3062555
1740	0.3062737
1742	0.3062873
1744	0.3062957
1746	0.3062992
1748	0.3062977
1750	0.3062913
1752	0.3062799
1754	0.3062638
1756	0.306243
1758	0.3062174
1760	0.3061872
1762	0.3061524
1764	0.3061129
1766	0.3060689
1768	0.3060204
1770	0.3059673
1772	0.3059133
1774	0.3058551
1776	0.3057906
1778	0.305719
1780	0.3056429
1782	0.3055632
1784	0.3054793
1786	0.3053911
1788	0.3052986
1790	0.305202
1792	0.3051052
1794	0.3050048
1796	0.3048984
1798	0.3047853
1800	0.3046682
