n anno mese giorno hum_int hum_corrected RH_raw RH_true temp_int temp_corr
256 2022 12 21 29248.40 98.500486 1511 49.34 6138 21.78
257 2022 12 21 29249.40 98.901025 1511 49.34 6139 21.79
258 2022 12 21 29249.40 99.301590 1510 49.31 6138 21.78
259 2022 12 21 29249.40 99.702096 1511 49.34 6138 21.78
260 2022 12 21 29250.40 100.102323 1511 49.34 6137 21.77
261 2022 12 21 29250.40 100.502689 1511 49.34 6138 21.78
262 2022 12 21 29251.40 100.903220 1511 49.34 6138 21.78
263 2022 12 21 29251.40 101.303697 1511 49.34 6136 21.76
264 2022 12 21 29251.40 101.704282 1511 49.34 6137 21.77
265 2022 12 21 29252.40 102.104445 1512 49.37 6138 21.78
266 2022 12 21 29252.40 102.505005 1511 49.34 6137 21.77
267 2022 12 21 29253.40 102.905611 1512 49.37 6137 21.77
268 2022 12 21 29253.40 103.305806 1512 49.37 6137 21.77
269 2022 12 21 29253.40 103.706417 1512 49.37 6136 21.76
270 2022 12 21 29254.40 104.106814 1512 49.37 6138 21.78
271 2022 12 21 29254.00 104.107359 1512 49.37 6137 21.77
272 2022 12 21 29255.00 104.507658 1512 49.37 6137 21.77
273 2022 12 21 29255.00 104.907952 1512 49.37 6136 21.76
274 2022 12 21 29255.00 105.308113 1512 49.37 6138 21.78
275 2022 12 21 29256.00 105.708484 1512 49.37 6137 21.77
276 2022 12 21 29256.00 106.108910 1512 49.37 6136 21.76
277 2022 12 21 29256.40 106.508910 1513 49.40 6136 21.76
278 2022 12 21 29257.40 106.909124 1513 49.40 6137 21.77
279 2022 12 21 29257.40 107.309317 1513 49.40 6136 21.76
280 2022 12 21 29257.40 107.709633 1512 49.37 6136 21.76
281 2022 12 21 29258.40 108.109836 1513 49.40 6136 21.76
282 2022 12 21 29258.40 108.510082 1513 49.40 6137 21.77
283 2022 12 21 29259.40 108.910500 1513 49.40 6136 21.76
284 2022 12 21 29259.40 109.310741 1513 49.40 6136 21.76
285 2022 12 21 29259.40 109.711213 1513 49.40 6136 21.76
286 2022 12 21 29260.40 110.111460 1513 49.40 6136 21.76
287 2022 12 21 29260.40 110.511922 1513 49.40 6136 21.76
288 2022 12 21 29261.40 110.912345 1512 49.37 6136 21.76
289 2022 12 21 29261.40 111.312561 1514 49.43 6135 21.75
290 2022 12 21 29261.40 111.713052 1513 49.40 6136 21.76
291 2022 12 21 29262.40 112.113490 1513 49.40 6136 21.76
292 2022 12 21 29262.40 112.513934 1514 49.43 6135 21.75
293 2022 12 21 29263.00 112.514337 1514 49.43 6136 21.76
294 2022 12 21 29263.00 112.914784 1514 49.43 6136 21.76
295 2022 12 21 29263.00 113.315307 1514 49.43 6136 21.76
296 2022 12 21 29264.00 113.715757 1514 49.43 6135 21.75
297 2022 12 21 29264.00 114.116141 1514 49.43 6136 21.76
298 2022 12 21 29265.00 114.516630 1514 49.43 6134 21.74
299 2022 12 21 29265.40 114.916630 1514 49.43 6135 21.75
300 2022 12 21 29265.40 115.316880 1514 49.43 6135 21.75
301 2022 12 21 29265.40 115.717114 1514 49.43 6134 21.74
302 2022 12 21 29266.40 116.117648 1514 49.43 6135 21.75
303 2022 12 21 29266.40 116.517876 1515 49.47 6134 21.74
304 2022 12 21 29267.40 116.918117 1515 49.46 6135 21.75
305 2022 12 21 29267.40 117.318670 1515 49.47 6134 21.74
306 2022 12 21 29267.40 117.719257 1515 49.46 6135 21.75
307 2022 12 21 29268.40 118.119796 1514 49.43 6134 21.74
308 2022 12 21 29268.40 118.520033 1514 49.43 6134 21.74
309 2022 12 21 29269.40 118.920544 1514 49.43 6134 21.74
310 2022 12 21 29269.40 119.320752 1514 49.43 6133 21.73
311 2022 12 21 29269.40 119.721118 1514 49.43 6134 21.74
312 2022 12 21 29270.40 120.121511 1514 49.43 6134 21.74
313 2022 12 21 29270.40 120.521877 1514 49.43 6135 21.75
314 2022 12 21 29271.40 120.922318 1514 49.43 6134 21.74
315 2022 12 21 29271.00 120.922696 1514 49.43 6134 21.74
316 2022 12 21 29271.00 121.323023 1514 49.43 6134 21.74
317 2022 12 21 29272.00 121.723411 1514 49.43 6134 21.74
318 2022 12 21 29272.00 122.123716 1513 49.40 6133 21.73
319 2022 12 21 29273.00 122.524069 1514 49.43 6133 21.73
320 2022 12 21 29273.00 122.924506 1513 49.40 6133 21.73
321 2022 12 21 29273.40 123.324506 1513 49.40 6134 21.74
322 2022 12 21 29273.40 123.724761 1513 49.40 6134 21.74
323 2022 12 21 29274.40 124.124944 1513 49.40 6132 21.72
