n anno mese giorno hum_int time RH_raw RH_true temp_int temp_corr
373 2022 12 15 42994.00 143.606136 1814 58.93 6234 22.74
374 2022 12 15 42994.40 144.006136 1814 58.93 6234 22.74
375 2022 12 15 42995.00 144.386402 1814 58.93 6235 22.75
376 2022 12 15 42995.40 144.786402 1814 58.93 6234 22.74
377 2022 12 15 42996.00 145.166895 1814 58.93 6234 22.74
378 2022 12 15 42996.40 145.566895 1814 58.93 6235 22.75
379 2022 12 15 42997.00 145.947423 1815 58.96 6234 22.74
380 2022 12 15 42997.40 146.347423 1815 58.96 6233 22.73
381 2022 12 15 42998.00 146.728060 1814 58.92 6234 22.74
382 2022 12 15 42998.40 147.128060 1815 58.96 6234 22.74
383 2022 12 15 42998.00 147.508497 1815 58.96 6234 22.74
384 2022 12 15 42998.40 147.908497 1815 58.96 6234 22.74
385 2022 12 15 42998.80 148.308497 1814 58.93 6234 22.74
386 2022 12 15 42999.40 148.688801 1815 58.96 6234 22.74
387 2022 12 15 42999.80 149.088801 1814 58.93 6234 22.74
388 2022 12 15 43000.40 149.469015 1814 58.93 6234 22.74
389 2022 12 15 43000.80 149.869015 1814 58.93 6234 22.74
390 2022 12 15 43001.40 150.249271 1815 58.96 6234 22.74
391 2022 12 15 43001.80 150.649271 1815 58.96 6234 22.74
392 2022 12 15 43001.40 151.029505 1814 58.93 6234 22.74
393 2022 12 15 43001.80 151.429505 1815 58.96 6234 22.74
394 2022 12 15 43002.40 151.810015 1814 58.93 6234 22.74
395 2022 12 15 43002.80 152.210015 1814 58.93 6234 22.74
396 2022 12 15 43003.40 152.590489 1815 58.96 6234 22.74
397 2022 12 15 43003.80 152.990489 1815 58.96 6234 22.74
398 2022 12 15 43004.40 153.371144 1814 58.93 6236 22.76
399 2022 12 15 43004.80 153.771144 1814 58.93 6234 22.74
400 2022 12 15 43005.40 154.151781 1815 58.96 6234 22.74
401 2022 12 15 43005.80 154.551781 1814 58.93 6234 22.74
402 2022 12 15 43005.40 154.932266 1814 58.93 6234 22.74
403 2022 12 15 43005.80 155.332266 1814 58.93 6234 22.74
404 2022 12 15 43006.40 155.712803 1814 58.93 6234 22.74
405 2022 12 15 43006.80 156.112803 1814 58.93 6234 22.74
406 2022 12 15 43007.40 156.493167 1814 58.93 6234 22.74
407 2022 12 15 43007.80 156.893167 1815 58.96 6234 22.74
408 2022 12 15 43008.40 157.273733 1814 58.93 6234 22.74
409 2022 12 15 43008.80 157.673733 1814 58.93 6234 22.74
410 2022 12 15 43008.40 158.054215 1814 58.93 6234 22.74
411 2022 12 15 43008.80 158.454215 1814 58.93 6235 22.75
412 2022 12 15 43009.40 158.834474 1814 58.93 6234 22.74
413 2022 12 15 43009.80 159.234474 1814 58.93 6234 22.74
414 2022 12 15 43010.40 159.614899 1814 58.93 6234 22.74
415 2022 12 15 43010.80 160.014899 1814 58.93 6234 22.74
416 2022 12 15 43011.40 160.395164 1814 58.93 6233 22.73
417 2022 12 15 43011.80 160.795164 1814 58.92 6234 22.74
418 2022 12 15 43012.40 161.175637 1814 58.93 6234 22.74
419 2022 12 15 43012.80 161.575637 1814 58.93 6233 22.73
420 2022 12 15 43012.00 161.555988 1814 58.92 6234 22.74
